total_sales,onsale_web,price,stock_quantity,stock_status
15.0,1,26.2,27,instock
10.0,1,20.6,49,instock
9.0,1,16.9,31,instock
11.0,1,19.0,50,instock
7.0,1,24.0,10,instock
0.0,1,57.0,5,instock
0.0,1,67.5,1,instock
0.0,1,30.6,3,instock
0.0,1,59.0,5,instock
6.0,1,11.9,106,instock
9.0,1,16.5,49,instock
0.0,1,52.4,3,instock
0.0,1,52.9,2,instock
4.0,1,58.3,1,instock
0.0,1,39.6,2,instock
2.0,1,52.4,3,instock
4.0,1,62.4,3,instock
0.0,1,76.8,3,instock
0.0,1,50.0,3,instock
3.0,1,52.4,2,instock
0.0,1,41.0,4,instock
0.0,1,62.4,3,instock
1.0,1,50.0,4,instock
1.0,1,21.5,34,instock
8.0,1,28.5,48,instock
2.0,1,24.3,9,instock
1.0,1,16.5,5,instock
5.0,1,25.3,14,instock
0.0,1,49.0,21,instock
0.0,1,36.2,18,instock
0.0,1,33.4,0,outofstock
0.0,1,40.2,23,instock
0.0,1,43.0,3,instock
0.0,1,43.0,11,instock
0.0,1,48.8,12,instock
0.0,1,20.8,24,instock
0.0,1,16.4,15,instock
2.0,1,14.4,6,instock
0.0,1,21.0,32,instock
3.0,1,12.3,23,instock
1.0,1,20.2,37,instock
2.0,1,17.0,93,instock
0.0,1,21.9,24,instock
0.0,1,17.8,5,instock
0.0,1,19.8,35,instock
7.0,1,19.0,41,instock
0.0,1,10.7,35,instock
0.0,1,12.9,73,instock
1.0,1,9.5,161,instock
0.0,1,29.8,30,instock
0.0,1,13.2,37,instock
2.0,1,6.3,34,instock
12.0,1,7.1,178,instock
6.0,1,9.1,26,instock
1.0,1,9.1,42,instock
3.0,1,18.1,25,instock
2.0,1,14.0,6,instock
0.0,1,30.1,36,instock
1.0,1,12.8,6,instock
0.0,1,12.8,15,instock
7.0,1,19.8,2,instock
3.0,1,18.2,0,outofstock
8.0,1,31.6,12,instock
32.0,1,16.8,23,instock
13.0,1,22.8,13,instock
8.0,1,32.6,15,instock
0.0,1,44.0,0,outofstock
1.0,1,55.4,9,instock
1.0,1,15.8,0,outofstock
12.0,1,18.4,6,instock
3.0,1,13.3,25,instock
0.0,1,11.1,30,instock
0.0,1,18.6,7,instock
6.0,1,23.4,0,outofstock
0.0,1,18.2,19,instock
15.0,1,12.5,29,instock
15.0,1,15.9,10,instock
1.0,1,13.7,0,outofstock
3.0,1,29.0,5,instock
0.0,1,23.4,1,instock
4.0,1,12.7,0,outofstock
2.0,1,26.0,33,instock
2.0,1,29.5,20,instock
38.0,1,8.6,151,instock
0.0,1,14.3,6,instock
18.0,1,22.0,7,instock
0.0,1,16.8,13,instock
1.0,1,15.3,36,instock
0.0,1,7.4,50,instock
0.0,1,9.7,8,instock
0.0,1,14.5,14,instock
0.0,1,11.9,140,instock
2.0,1,16.4,45,instock
0.0,1,27.9,42,instock
7.0,1,12.0,76,instock
0.0,1,7.4,97,instock
6.0,1,26.5,1,instock
0.0,1,24.3,22,instock
0.0,1,16.9,49,instock
7.0,1,6.8,11,instock
0.0,1,13.9,0,outofstock
18.0,1,7.8,163,instock
1.0,1,13.7,12,instock
3.0,1,9.8,22,instock
0.0,1,29.5,5,instock
0.0,1,28.5,10,instock
1.0,1,10.1,18,instock
0.0,1,12.1,37,instock
3.0,1,12.3,21,instock
2.0,1,11.1,62,instock
0.0,1,11.1,43,instock
0.0,1,13.6,24,instock
19.0,1,21.0,13,instock
0.0,1,18.7,17,instock
0.0,1,41.6,0,outofstock
10.0,1,12.0,34,instock
0.0,1,78.0,0,outofstock
3.0,1,14.9,56,instock
1.0,1,6.5,257,instock
11.0,1,8.7,85,instock
29.0,1,8.5,284,instock
12.0,1,9.9,168,instock
4.0,1,8.2,0,outofstock
13.0,1,9.8,1,instock
1.0,1,9.9,0,outofstock
33.0,1,9.3,0,outofstock
22.0,1,22.8,4,instock
0.0,1,18.7,6,instock
5.0,1,28.4,48,instock
0.0,1,27.9,53,instock
0.0,1,25.3,0,outofstock
6.0,1,17.0,29,instock
36.0,1,27.9,0,outofstock
3.0,1,20.1,34,instock
3.0,1,27.9,0,outofstock
9.0,1,21.2,35,instock
1.0,1,20.8,42,instock
0.0,1,41.0,36,instock
0.0,1,46.0,11,instock
0.0,1,102.3,20,instock
5.0,1,137.0,13,instock
0.0,1,22.9,6,instock
4.0,1,53.2,5,instock
0.0,1,25.9,27,instock
4.0,1,17.3,0,outofstock
6.0,1,25.9,10,instock
0.0,1,28.0,16,instock
2.0,1,25.9,6,instock
8.0,1,25.9,14,instock
24.0,1,37.2,0,outofstock
6.0,1,24.4,0,outofstock
10.0,1,24.4,1,instock
10.0,1,7.0,143,instock
0.0,1,12.8,0,outofstock
12.0,1,23.2,0,outofstock
0.0,1,7.9,92,instock
4.0,1,6.5,0,outofstock
5.0,1,7.9,1,instock
2.0,1,16.7,4,instock
5.0,1,17.5,9,instock
0.0,1,27.8,11,instock
4.0,1,25.7,0,outofstock
0.0,1,18.4,30,instock
2.0,1,22.2,57,instock
11.0,1,11.1,88,instock
4.0,1,9.9,28,instock
0.0,1,12.5,0,outofstock
0.0,1,12.9,0,outofstock
2.0,1,20.5,44,instock
14.0,1,11.3,95,instock
2.0,1,7.0,289,instock
6.0,1,12.1,72,instock
26.0,1,7.1,203,instock
0.0,1,49.5,0,outofstock
5.0,1,23.0,2,instock
4.0,1,23.7,15,instock
4.0,1,16.45,26,instock
3.0,1,16.3,47,instock
0.0,1,18.5,0,outofstock
0.0,1,26.5,88,instock
0.0,1,78.0,7,instock
0.0,1,78.0,0,outofstock
0.0,1,78.0,33,instock
6.0,1,27.3,0,outofstock
0.0,1,217.5,20,instock
0.0,1,64.9,1,instock
0.0,1,48.7,9,instock
2.0,1,59.4,1,instock
0.0,1,48.7,0,outofstock
0.0,1,105.0,17,instock
0.0,1,105.0,10,instock
0.0,1,55.6,17,instock
3.0,1,9.3,1,instock
0.0,1,19.8,0,outofstock
0.0,1,45.0,0,outofstock
0.0,1,112.0,0,outofstock
0.0,1,86.8,2,instock
0.0,1,62.1,0,outofstock
13.0,1,22.5,129,instock
1.0,1,7.5,9,instock
0.0,1,52.6,24,instock
2.0,1,45.0,4,instock
0.0,1,67.0,0,outofstock
16.0,1,59.9,0,outofstock
0.0,1,59.9,1,instock
0.0,1,65.0,2,instock
1.0,1,15.2,0,outofstock
0.0,1,19.0,7,instock
0.0,1,11.1,26,instock
0.0,1,18.0,24,instock
0.0,1,22.8,11,instock
0.0,1,19.5,9,instock
0.0,1,28.8,0,outofstock
0.0,1,16.1,5,instock
1.0,1,24.2,17,instock
0.0,1,35.3,9,instock
0.0,1,10.7,4,instock
0.0,1,12.7,6,instock
0.0,1,17.1,34,instock
0.0,1,24.0,6,instock
1.0,1,39.0,10,instock
18.0,1,13.2,0,outofstock
5.0,1,23.6,2,instock
1.0,1,15.5,37,instock
0.0,1,16.3,11,instock
0.0,1,16.2,30,instock
0.0,1,7.2,0,outofstock
3.0,1,54.8,12,instock
4.0,1,42.0,0,outofstock
4.0,1,19.8,38,instock
3.0,1,10.2,69,instock
1.0,1,10.4,37,instock
0.0,1,11.5,46,instock
0.0,1,17.9,22,instock
1.0,1,21.6,0,outofstock
3.0,1,33.4,13,instock
9.0,1,49.5,5,instock
3.0,1,43.5,1,instock
0.0,1,43.5,17,instock
0.0,1,26.5,15,instock
3.0,1,13.8,35,instock
0.0,1,18.2,63,instock
22.0,1,12.9,35,instock
2.0,1,38.6,54,instock
1.0,1,48.4,10,instock
1.0,1,60.4,16,instock
1.0,1,38.6,0,outofstock
0.0,1,12.0,0,outofstock
0.0,1,61.6,0,outofstock
7.0,1,65.9,0,outofstock
6.0,1,15.2,130,instock
1.0,1,24.6,32,instock
0.0,1,48.8,6,instock
0.0,1,34.3,0,outofstock
0.0,1,36.3,18,instock
0.0,1,57.7,12,instock
0.0,1,38.0,10,instock
0.0,1,58.0,0,outofstock
0.0,1,58.0,0,outofstock
3.0,1,30.8,21,instock
0.0,1,92.0,0,outofstock
0.0,1,27.5,17,instock
0.0,1,34.7,5,instock
0.0,1,59.6,9,instock
0.0,1,83.7,18,instock
2.0,1,30.5,20,instock
2.0,1,38.6,25,instock
0.0,1,18.0,11,instock
1.0,1,63.4,1,instock
0.0,1,124.8,12,instock
6.0,1,19.2,11,instock
3.0,1,19.2,39,instock
0.0,1,56.4,11,instock
2.0,1,38.4,6,instock
3.0,1,27.8,12,instock
0.0,1,71.3,31,instock
0.0,1,71.3,13,instock
0.0,1,25.0,20,instock
0.0,1,10.3,51,instock
1.0,1,28.0,1,instock
0.0,1,44.6,8,instock
11.0,1,13.0,55,instock
5.0,1,12.7,62,instock
14.0,1,6.5,123,instock
0.0,1,17.5,35,instock
0.0,1,29.9,1,instock
1.0,1,44.5,0,outofstock
0.0,1,29.4,1,instock
0.0,1,16.9,5,instock
2.0,1,19.8,9,instock
0.0,1,10.3,22,instock
10.0,1,10.8,13,instock
0.0,1,31.7,0,outofstock
5.0,1,25.0,35,instock
1.0,1,57.6,0,outofstock
0.0,1,13.7,35,instock
19.0,1,7.1,118,instock
5.0,1,14.9,10,instock
9.0,1,11.0,12,instock
11.0,1,14.6,26,instock
1.0,1,10.7,39,instock
0.0,1,73.3,0,outofstock
0.0,1,42.1,0,outofstock
0.0,1,57.0,0,outofstock
21.0,1,24.5,1,instock
4.0,1,10.1,101,instock
4.0,1,42.2,30,instock
2.0,1,13.1,37,instock
0.0,1,19.5,0,outofstock
12.0,1,12.9,84,instock
0.0,1,35.6,30,instock
0.0,1,175.0,12,instock
1.0,1,35.6,0,outofstock
0.0,1,33.6,0,outofstock
4.0,1,34.4,54,instock
0.0,1,38.4,3,instock
1.0,1,29.7,47,instock
3.0,1,32.8,18,instock
0.0,1,5.7,132,instock
24.0,1,5.8,36,instock
8.0,1,5.8,211,instock
0.0,1,21.7,34,instock
0.0,1,23.0,18,instock
0.0,1,12.5,12,instock
0.0,1,17.2,123,instock
0.0,1,40.2,0,outofstock
0.0,1,24.0,62,instock
0.0,1,23.8,22,instock
3.0,1,17.1,36,instock
1.0,1,25.0,0,outofstock
2.0,1,17.4,0,outofstock
4.0,1,27.3,1,instock
0.0,1,17.9,0,outofstock
0.0,1,24.0,95,instock
1.0,1,16.6,11,instock
0.0,1,16.9,5,instock
0.0,1,57.6,5,instock
0.0,1,63.5,19,instock
1.0,1,56.0,1,instock
0.0,1,63.5,7,instock
4.0,1,41.2,0,outofstock
3.0,1,55.0,11,instock
3.0,1,57.0,26,instock
0.0,1,19.3,55,instock
1.0,1,19.0,4,instock
3.0,1,191.3,10,instock
5.0,1,26.6,65,instock
5.0,1,15.4,18,instock
0.0,1,24.7,17,instock
4.0,1,28.1,0,outofstock
0.0,1,18.25,0,outofstock
0.0,1,35.1,9,instock
0.0,1,27.3,1,instock
0.0,1,18.8,25,instock
2.0,1,43.9,0,outofstock
0.0,1,19.8,0,outofstock
